UniversityID,SubsystemDescription,MonthNum,ml_risk,hist_asset_rate,hist_shock_rate,coverage
10,Building Elements Demolition,4,1.1665759e-05,0.0,0.0,1
10,Building Elements Demolition,10,1.0126687e-05,0.0,0.0,1
10,Ceiling Finishes,1,0.14687558,0.18006993006993008,0.08741258741258741,572
10,Ceiling Finishes,2,0.10267944,0.11504424778761062,0.09026548672566372,565
10,Ceiling Finishes,3,0.12189379,0.1419031719532554,0.06844741235392321,599
10,Ceiling Finishes,4,0.13312843,0.15358361774744028,0.05631399317406143,586
10,Ceiling Finishes,5,0.15681583,0.23344947735191637,0.10627177700348432,574
10,Ceiling Finishes,6,0.15169698,0.19400352733686066,0.06525573192239859,567
10,Ceiling Finishes,7,0.10177946,0.13859649122807016,0.0912280701754386,570
10,Ceiling Finishes,8,0.21455546,0.2958477508650519,0.12802768166089964,578
10,Ceiling Finishes,9,0.14338109,0.17132867132867133,0.09090909090909091,572
10,Ceiling Finishes,10,0.15534654,0.19022687609075042,0.07853403141361257,573
10,Ceiling Finishes,11,0.09788991,0.12277580071174377,0.03914590747330961,562
10,Ceiling Finishes,12,0.078039505,0.09219858156028368,0.03368794326241135,564
10,Commercial Equipment,1,0.011359279,0.011345218800648298,0.22852512155591573,617
10,Commercial Equipment,2,0.0190309,0.01901743264659271,0.27416798732171155,631
10,Commercial Equipment,3,0.019921752,0.019908116385911178,0.29709035222052066,653
10,Commercial Equipment,4,0.022271119,0.022257551669316374,0.302066772655008,629
10,Commercial Equipment,5,0.017870773,0.021103896103896104,0.21915584415584416,616
10,Commercial Equipment,6,0.01772727,0.020933977455716585,0.2222222222222222,621
10,Commercial Equipment,7,0.022630943,0.024232633279483037,0.172859450726979,619
10,Commercial Equipment,8,0.0080144275,0.008,0.208,625
10,Commercial Equipment,9,0.02084595,0.022435897435897436,0.26282051282051283,624
10,Commercial Equipment,10,0.017697034,0.022508038585209004,0.2620578778135048,622
10,Commercial Equipment,11,0.008156118,0.009771986970684038,0.25732899022801303,614
10,Commercial Equipment,12,0.014767411,0.01639344262295082,0.14426229508196722,610
10,Communications & Security,1,0.017888773,0.017875920084121977,0.06624605678233439,951
10,Communications & Security,2,0.01049528,0.010482180293501049,0.0649895178197065,954
10,Communications & Security,3,0.021268208,0.044534412955465584,0.05161943319838057,988
10,Communications & Security,4,0.027847927,0.03402061855670103,0.0443298969072165,970
10,Communications & Security,5,0.015247471,0.017410228509249184,0.05767138193688792,919
10,Communications & Security,6,0.015214458,0.016286644951140065,0.0499457111834962,921
10,Communications & Security,7,0.0075736246,0.008639308855291577,0.023758099352051837,926
10,Communications & Security,8,0.01729261,0.019438444924406047,0.03131749460043196,926
10,Communications & Security,9,0.012986081,0.012972972972972972,0.06918918918918919,925
10,Communications & Security,10,0.01500127,0.016059957173447537,0.046038543897216275,934
10,Communications & Security,11,0.009586807,0.009574468085106383,0.047872340425531915,940
10,Communications & Security,12,0.009486558,0.04421052631578947,0.02631578947368421,950
