UniversityID,BuildingID,BuildingName,SubsystemDescription,MonthNum,ml_risk,hist_asset_rate,hist_shock_rate,coverage
10,0009,Building 0009,Elevators & Lifts,5,1.19741835e-05,0.0,0.0,4
10,0009,Building 0009,Elevators & Lifts,6,1.3394088e-05,0.0,0.0,5
10,0009,Building 0009,Elevators & Lifts,7,1.21568955e-05,0.0,0.0,4
10,0009,Building 0009,Elevators & Lifts,8,1.22553465e-05,0.0,0.0,4
10,0009,Building 0009,Elevators & Lifts,9,1.249812e-05,0.0,0.0,4
10,0009,Building 0009,Elevators & Lifts,10,1.2527613e-05,0.0,0.0,4
10,0009,Building 0009,Elevators & Lifts,11,1.2597401e-05,0.0,0.0,4
10,0009,Building 0009,Elevators & Lifts,12,1.2650358e-05,0.0,0.0,4
10,0009,Building 0009,Exterior Doors,3,1.2211003e-05,0.0,0.0,1
10,0009,Building 0009,General,1,1.0334071e-05,0.0,0.0,4
10,0009,Building 0009,General,2,1.0071206e-05,0.0,0.0,4
10,0009,Building 0009,General,3,1.0131858e-05,0.0,0.0,4
10,0009,Building 0009,General,4,1.0136183e-05,0.0,0.0,4
10,0009,Building 0009,General,5,9.974833e-06,0.0,0.0,5
10,0009,Building 0009,General,6,9.89545e-06,0.0,0.0,5
10,0009,Building 0009,General,7,9.679059e-06,0.0,0.0,5
10,0009,Building 0009,General,8,1.0185443e-05,0.0,0.0,5
10,0009,Building 0009,General,9,1.0700429e-05,0.0,0.0,5
10,0009,Building 0009,General,10,9.938729e-06,0.0,0.0,5
10,0009,Building 0009,General,11,9.0873355e-06,0.0,0.0,5
10,0009,Building 0009,General,12,9.745602e-06,0.0,0.0,4
10,0009,Building 0009,Heat Generation Systems,1,1.2014653e-05,0.0,0.0,1
10,0009,Building 0009,Heat Generation Systems,2,1.2132153e-05,0.0,0.0,1
10,0009,Building 0009,Heat Generation Systems,3,1.2211003e-05,0.0,0.0,1
10,0009,Building 0009,Heat Generation Systems,9,1.10788305e-05,0.0,0.0,1
10,0009,Building 0009,Heat Generation Systems,10,1.0638522e-05,0.0,0.0,1
10,0009,Building 0009,Heat Generation Systems,11,1.0562631e-05,0.0,0.0,1
10,0009,Building 0009,Heat Generation Systems,12,1.1214951e-05,0.0,0.0,1
10,0009,Building 0009,Interior Doors,1,1.4598172e-05,0.0,0.0,1
10,0009,Building 0009,Interior Doors,2,1.4598172e-05,0.0,0.0,1
10,0009,Building 0009,Interior Doors,3,1.4598172e-05,0.0,0.0,1
10,0009,Building 0009,Interior Doors,4,1.512811e-05,0.0,0.0,1
10,0009,Building 0009,Interior Doors,5,1.4407309e-05,0.0,0.0,2
10,0009,Building 0009,Interior Doors,6,1.3667674e-05,0.0,0.0,2
10,0009,Building 0009,Interior Doors,7,1.2162445e-05,0.0,0.0,2
10,0009,Building 0009,Interior Doors,8,1.2169647e-05,0.0,0.0,2
10,0009,Building 0009,Interior Doors,9,1.3335559e-05,0.0,0.0,2
10,0009,Building 0009,Interior Doors,10,1.351046e-05,0.0,0.5,2
10,0009,Building 0009,Interior Doors,11,1.2122404e-05,0.0,0.0,1
10,0009,Building 0009,Interior Doors,12,1.3881888e-05,0.0,0.0,1
10,0009,Building 0009,Lighting and Branch Wiring,6,9.881319e-06,0.0,0.0,1
10,0009,Building 0009,Lighting and Branch Wiring,7,1.2126323e-05,0.0,0.0,1
10,0009,Building 0009,Lighting and Branch Wiring,8,9.861737e-06,0.0,0.0,1
10,0009,Building 0009,Lighting and Branch Wiring,9,9.742906e-06,0.0,0.0,1
10,0009,Building 0009,Lighting and Branch Wiring,10,1.207891e-05,0.0,0.0,1
10,0009,Building 0009,Other Electrical Systems,1,1.27792155e-05,0.0,0.0,3
10,0009,Building 0009,Other Electrical Systems,2,1.2676148e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,3,1.2676148e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,4,1.2676148e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,5,1.2707318e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,6,1.16467345e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,7,1.1446296e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,8,1.1583106e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,9,1.1403261e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,10,1.1403261e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,11,1.1375259e-05,0.0,0.0,2
10,0009,Building 0009,Other Electrical Systems,12,1.1939133e-05,0.0,0.0,2
10,0009,Building 0009,Other Equipment,10,1.02090025e-05,0.0,0.0,1
10,0009,Building 0009,Other HVAC Systems & Equipment,3,1.2211003e-05,0.0,0.0,1
10,0009,Building 0009,Other HVAC Systems & Equipment,4,1.1862593e-05,0.0,0.0,1
10,0009,Building 0009,Other HVAC Systems & Equipment,5,1.3477215e-05,0.0,0.0,1
10,0009,Building 0009,Roof Openings,6,1.4037513e-05,0.0,0.0,1
10,0009,Building 0009,Sprinklers,1,8.46614e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,2,9.290881e-06,0.0,0.0,19
10,0009,Building 0009,Sprinklers,3,8.822672e-06,0.0,0.0,19
10,0009,Building 0009,Sprinklers,4,8.494866e-06,0.0,0.0,19
10,0009,Building 0009,Sprinklers,5,8.423771e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,6,8.325829e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,7,8.253144e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,8,9.105163e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,9,7.5998123e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,10,7.655685e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,11,7.965406e-06,0.0,0.0,18
10,0009,Building 0009,Sprinklers,12,7.682833e-06,0.0,0.0,18
10,0009,Building 0009,Terminal & Package Units,1,1.2218506e-05,0.0,0.0,1
10,0009,Building 0009,Terminal & Package Units,2,1.1284826e-05,0.0,0.0,1
10,0009,Building 0009,Terminal & Package Units,3,1.1284826e-05,0.0,0.0,1
10,0009,Building 0009,Terminal & Package Units,4,1.104203e-05,0.0,0.0,1
10,0009,Building 0009,Terminal & Package Units,5,1.2926736e-05,0.0,0.0,1
10,0009,Building 0009,Unclassified,1,9.201103e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,2,8.870013e-06,0.0,0.0,2
10,0009,Building 0009,Unclassified,3,8.749537e-06,0.0,0.0,2
10,0009,Building 0009,Unclassified,4,8.350065e-06,0.0,0.0,2
10,0009,Building 0009,Unclassified,5,8.168814e-06,0.0,0.0,2
10,0009,Building 0009,Unclassified,6,8.96596e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,7,8.050646e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,8,8.137595e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,9,8.380591e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,10,8.473561e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,11,9.580927e-06,0.0,0.0,3
10,0009,Building 0009,Unclassified,12,1.1040658e-05,0.0,0.0,3
10,0017,Building 0017,Ceiling Finishes,1,4.1811527e-05,0.0,0.0,4
10,0017,Building 0017,Ceiling Finishes,2,3.6568046e-05,0.0,0.0,4
10,0017,Building 0017,Ceiling Finishes,3,3.674841e-05,0.0,0.0,4
10,0017,Building 0017,Ceiling Finishes,4,3.310183e-05,0.0,0.0,4
10,0017,Building 0017,Ceiling Finishes,5,0.20002174,0.2,0.4,5
10,0017,Building 0017,Ceiling Finishes,6,2.7844613e-05,0.0,0.0,5
10,0017,Building 0017,Ceiling Finishes,7,2.7503329e-05,0.0,0.0,5
10,0017,Building 0017,Ceiling Finishes,8,0.2000233,0.2,0.0,5
10,0017,Building 0017,Ceiling Finishes,9,0.25001648,0.5,0.0,4
10,0017,Building 0017,Ceiling Finishes,10,0.25002414,0.25,0.0,4
10,0017,Building 0017,Ceiling Finishes,11,0.25002608,0.25,0.0,4
10,0017,Building 0017,Ceiling Finishes,12,0.2500221,0.25,0.0,4
10,0017,Building 0017,Commercial Equipment,1,1.3833504e-05,0.0,0.0,4
10,0017,Building 0017,Commercial Equipment,2,1.3689302e-05,0.0,0.25,4
10,0017,Building 0017,Commercial Equipment,3,1.3536304e-05,0.0,0.25,4
10,0017,Building 0017,Commercial Equipment,4,1.3693431e-05,0.0,0.0,4
10,0017,Building 0017,Commercial Equipment,5,1.3708497e-05,0.0,0.0,4
10,0017,Building 0017,Commercial Equipment,6,1.2902082e-05,0.0,0.0,4
10,0017,Building 0017,Commercial Equipment,7,1.2036584e-05,0.0,0.0,4
10,0017,Building 0017,Commercial Equipment,8,1.3577997e-05,0.0,0.25,4
10,0017,Building 0017,Commercial Equipment,9,1.2605684e-05,0.0,0.25,4
10,0017,Building 0017,Commercial Equipment,10,1.3590489e-05,0.0,0.4,5
10,0017,Building 0017,Commercial Equipment,11,1.3172423e-05,0.0,0.0,5
10,0017,Building 0017,Commercial Equipment,12,1.3692274e-05,0.0,0.6,5
10,0017,Building 0017,Communications & Security,1,2.0337367e-05,0.0,0.0,5
10,0017,Building 0017,Communications & Security,2,1.8536735e-05,0.0,0.0,5
10,0017,Building 0017,Communications & Security,3,1.826753e-05,0.0,0.0,6
10,0017,Building 0017,Communications & Security,4,1.8367304e-05,0.0,0.0,6
10,0017,Building 0017,Communications & Security,5,0.20000711,0.2,0.0,5
10,0017,Building 0017,Communications & Security,6,0.20000713,0.2,0.0,5
10,0017,Building 0017,Communications & Security,7,1.7316259e-05,0.0,0.0,5
10,0017,Building 0017,Communications & Security,8,1.9476107e-05,0.0,0.2,5
10,0017,Building 0017,Communications & Security,9,0.20000505,0.2,0.0,5
10,0017,Building 0017,Communications & Security,10,0.3999992,0.4,0.0,5
10,0017,Building 0017,Communications & Security,11,2.3335446e-05,0.0,0.2,5
10,0017,Building 0017,Communications & Security,12,2.1115404e-05,0.0,0.2,5
10,0017,Building 0017,Controls and Instrumentation,1,0.33335587,1.1666666666666667,0.0,6
10,0017,Building 0017,Controls and Instrumentation,2,0.50000983,1.0,0.16666666666666666,6
10,0017,Building 0017,Controls and Instrumentation,3,0.16671242,0.16666666666666666,0.0,6
10,0017,Building 0017,Controls and Instrumentation,4,0.6000252,0.8,0.0,5
10,0017,Building 0017,Controls and Instrumentation,5,0.60002315,1.4,0.0,5
10,0017,Building 0017,Controls and Instrumentation,6,0.20005345,0.4,0.2,5
10,0017,Building 0017,Controls and Instrumentation,7,0.40003,0.4,0.2,5
10,0017,Building 0017,Controls and Instrumentation,8,0.20004773,0.2,0.4,5
10,0017,Building 0017,Controls and Instrumentation,9,0.6000173,0.8,0.2,5
10,0017,Building 0017,Controls and Instrumentation,10,0.50000983,0.6666666666666666,0.16666666666666666,6
10,0017,Building 0017,Controls and Instrumentation,11,0.16670717,0.16666666666666666,0.0,6
10,0017,Building 0017,Controls and Instrumentation,12,0.16670297,0.3333333333333333,0.0,6
10,0017,Building 0017,Cooling Generation Systems,1,1.1138839e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,2,1.1138839e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,3,1.1196265e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,4,1.1185981e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,5,1.2870662e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,6,1.19619845e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,7,1.0938057e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,8,1.0938057e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,9,1.1050215e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,10,1.0359649e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,11,1.0359649e-05,0.0,0.0,3
10,0017,Building 0017,Cooling Generation Systems,12,1.0741544e-05,0.0,0.0,3
10,0017,Building 0017,Distribution Systems,1,1.551531e-05,0.0,0.0,6
10,0017,Building 0017,Distribution Systems,2,1.4948396e-05,0.0,0.0,6
10,0017,Building 0017,Distribution Systems,3,1.43934085e-05,0.0,0.0,6
10,0017,Building 0017,Distribution Systems,4,1.4354013e-05,0.0,0.0,6
10,0017,Building 0017,Distribution Systems,5,1.3979239e-05,0.0,0.0,5
10,0017,Building 0017,Distribution Systems,6,1.5131876e-05,0.0,0.0,5
10,0017,Building 0017,Distribution Systems,7,1.5546435e-05,0.0,0.2,5
10,0017,Building 0017,Distribution Systems,8,1.4577791e-05,0.0,0.0,5
10,0017,Building 0017,Distribution Systems,9,1.1994283e-05,0.0,0.0,5
10,0017,Building 0017,Distribution Systems,10,1.249116e-05,0.0,0.0,5
10,0017,Building 0017,Distribution Systems,11,0.20000096,0.2,0.0,5
10,0017,Building 0017,Distribution Systems,12,1.4204466e-05,0.0,0.0,5
10,0017,Building 0017,Domestic Water Distribution,1,0.40000862,0.4,0.0,5
10,0017,Building 0017,Domestic Water Distribution,2,3.0029003e-05,0.0,0.0,6
10,0017,Building 0017,Domestic Water Distribution,3,0.33334276,0.3333333333333333,0.0,6
10,0017,Building 0017,Domestic Water Distribution,4,3.369194e-05,0.0,0.0,6
10,0017,Building 0017,Domestic Water Distribution,5,3.4571778e-05,0.0,0.4,5
10,0017,Building 0017,Domestic Water Distribution,6,0.20002468,0.2,0.0,5
10,0017,Building 0017,Domestic Water Distribution,7,3.5074678e-05,0.0,0.0,5
10,0017,Building 0017,Domestic Water Distribution,8,0.20002368,0.2,0.0,5
10,0017,Building 0017,Domestic Water Distribution,9,0.20001952,0.2,0.0,5
10,0017,Building 0017,Domestic Water Distribution,10,0.2000144,0.2,0.0,5
